Series,Num,Name
LTR,1-1,How to Make a Mudpie
LTR,1-2,I See Colors
LTR,1-3,I Am Special
LTR,1-4,I See Shapes
LTR,2-1,I Can Read
LTR,2-2,Buttons Buttons
LTR,2-3,We Can Share at School
LTR,2-4,Our Pumpkin
LTR,3-1,I Can Write
LTR,3-2,How's the Weather?
LTR,3-3,How Can I Help?
LTR,3-4,I See Patterns
LTR,4-1,Pigs
LTR,4-2,See How It Crows
LTR,4-3,Mr. Noisy Builds a House
LTR,4-4,Barney Bear Gets Dressed
LTR,5-1,Under the Sky
LTR,5-2,The Four Seasons
LTR,5-3,What Do We Need?
LTR,5-4,What comes in threes?
LTR,6-1,How Many?
LTR,6-2,Is It Alive?
LTR,6-3,The World in a Supermarket
LTR,6-4,Scaredy Cat Runs Away
LTR,7-1,Where's Your Tooth?
LTR,7-2,On the Go
LTR,7-3,"Barney Bear, World Traveler"
LTR,7-4,What Time Is It?
LTR,8-1,Where Do Monsters Live?
LTR,8-2,We Can Eat the Plants
LTR,8-3,Five Little Monsters Went to School
LTR,8-4,Mr. Noisy's Book of Patterns
LTR,9-1,Rain
LTR,9-2,Whose Forest Is It?
LTR,9-3,Pilgrim Children Had Many Chores
LTR,9-4,The Costume Parade
LTR,10-1,Little Green Frog
LTR,10-2,It's Melting!
LTR,10-3,Oranges For Orange Juice
LTR,10-4,Who Took the Cookies from the Cookie Jar?
LTR,11-1,The Bear Went Over the Mountain
LTR,11-2,What's Going On?
LTR,11-3,People Say Hello
LTR,11-4,We Can Make Graphs
LTR,12-1,What Do you See?
LTR,12-2,"Reduce, Reuse, Recycle"
LTR,12-3,Can You Read a Map?
LTR,12-4,The Skip Count Song
LTR,13-1,All Through the Week with Cat and Dog
LTR,13-2,Long Ago and Today
LTR,13-3,Who Lives Here?
LTR,13-4,Five Littles Monsters
LTR,14-1,Cat and Dog
LTR,14-2,Families Share
LTR,14-3,I Can't Sleep
LTR,14-4,"Spiders, Spiders Everywhere!"
LTR,15-1,The Giraffe Made Her Laugh
LTR,15-2,Safety Counts!
LTR,15-3,Round and Round the Seasons
LTR,15-4,A-Counting We Will Go
LTR,16-1,Scaredy cat
LTR,16-2,The One and Only Special Me
LTR,16-3,Mom Can Fix Anything
LTR,16-4,The Time Song
LTR,17-1,"Bears, Bears, Everywhere"
LTR,17-2,Cat and Dog at School
LTR,17-3,What's In My Pocket?
LTR,17-4,Let's Measure It!
LTR,18-1,Cinderella Dressed in Yellow
LTR,18-2,In Times Long Ago
LTR,18-3,What's the Weather Like Today
LTR,18-4,Ten Monsters in a Bed
LTR,19-1,City Mouse and Country Mouse
LTR,19-2,Mr. Noisy's Helpers
LTR,19-3,The Seed Song 
LTR,19-4,The Bugs Go Marcching
LTR,20-1,Mr. Noisy
LTR,20-2,My Global Address
LTR,20-3,Where Are You Going?
LTR,20-4,The Crayola Counting Book
LTR,21-1,Who Will Help?
LTR,21-2,Good Choices for Cat and Dog
LTR,21-3,Who's Hiding?
LTR,21-4,Little Number Stories: Addition
LTR,22-1,Way Down South
LTR,22-2,Houses
LTR,22-3,If a Tree Could Talk
LTR,22-4,Little Number Stories: Subtraction
LTR,23-1,Down on the Farm
LTR,23-2,Just Like Me
LTR,23-3,Let's Take Care of the Earth
LTR,23-4,Lunch With Cat and Dog
LTR,24-1,There's a Monster in the Tree
LTR,24-2,Maps
LTR,24-3,What Happened?
LTR,24-4,The Magic Money Box
HR2,1-1,Hiccups for Elephant
HR2,1-2,How Many Feet? How Many Tails?
HR2,1-3,"More Spaghetti, I Say!"
HR2,1-4,The Wrong-Way Rabbit
HR2,1-5,Best Friends Wear Pink Tutus
HR2,1-6,The Cows Are in the Corn
HR2,1-7,Dinosaurs
HR2,1-8,The Great Race
HR2,1-9,Great Snakes!
HR2,1-10,Slower Than a Snail
HR2,1-11,The 100th Day of School
HR2,1-12,All Tutus Should Be Pink
HR2,2-1,The Day the Sheep Showed up
HR2,2-2,Two Crazy Pigs
HR2,2-3,Class Picture Day
HR2,2-4,More or Less a Mess
HR2,2-5,We Eat Dinner in the Bathtub
HR2,2-6,Wake Me in Spring
HR2,2-7,We Just Moved!
HR2,2-8,Too Many Puppies
HR2,2-9,The Sword in the Stone
HR2,2-10,Not Enough Room!
HR2,2-11,Just a Minute!
HR2,2-12,Fraidy Cats
HR2,3-1,The Day of the Bad Haircut
HR2,3-2,Roller Skates!
HR2,3-3,Once Upon a Springtime
HR2,3-4,Stay in Line
HR2,3-5,Butterflies
HR2,3-6,What Time Is It?
HR2,3-7,More for Me!
HR2,3-8,"The Day the Dog Said, ""Cock-a-Doodle-Doo!"""
HR2,3-9,N-O Spells NO!
HR2,3-10,No Fair!
HR2,3-11,Slip! Slide! Skate!
ICR,0-1,"Splish, Splash"
ICR,0-2,Sid And Sam
ICR,0-3,"Oh, Cats!"
ICR,0-4,How Many Fish?
ICR,0-5,Mine's the Best
ICR,0-6,"I See, You Saw"
ICR,0-7,Go Away Dog
ICR,0-8,Biscuit's Big Friend
ICR,0-9,The Day I Had to Play with My Sister
ICR,1-1,Who Will be My Friends?
ICR,1-2,What Do You Hear When Cows Sing?
ICR,1-3,"Drip, Drop"
ICR,1-4,Morris the Moose
ICR,1-5,Geese Find the Missing Piece
ICR,1-6,"And I Mean It, Stanley"
ICR,1-7,DIGBY
ICR,1-8,The Horse in Harry's Room
ICR,1-9,Danny and the Dinosaur
ICR,1-10,Who's Afraid of the Dark?
ICR,1-11,Danny and the Dinosaur Go to Camp
ICR,1-12,Morris Goes to School
ICR,1-13,A Kiss For Little Bear
ICR,1-14,Biscuit's New Trick
ICR,1-15,Biscuit's Wants to play
ICR,1-16,Biscuit
ICR,1-17,Biscuit's Day at the Farm
ICR,1-18,Bathtime for Biscuit
ICR,1-19,Biscuit Goes to School
ICR,1-20,"Happy Birthday, Danny and Dinosaur!"
ICR,2-1,Silly Tilly and the Easter Bunny
ICR,2-2,Barney's Horse
ICR,2-3,Dinosaur Time
ICR,2-4,"Ready, Set, Go!"
ICR,2-5,Dirk Bones
ICR,2-6,Oscar Otter
ICR,2-7,Sammy The Seal
ICR,2-8,The Fat Cat Sat on The Mat
ICR,2-9,Dixie
ICR,2-10,Crocodile and Hen
ICR,2-11,The Littlest Leaguer
ICR,2-12,Silly Tilly's Valentine
ICR,2-13,Fancy Nancy: Pajama Day
ICR,2-14,Fancy Nancy: The Dazzling Book Report
ICR,2-15,Fancy Nancy at The Museum
ICR,2-16,Fancy Nancy: The Show Must Go On
ICR,2-17,Fancy Nancy Sees Stars
ICR,2-18,Fancy Nancy and the Boy from Paris
ICR,2-19,Fancy Nancy: Splendid Speller
ICR,2-20,Baa-Choo!
ICR,2-21,Mrs. Brice's Mice
ICR,2-22,The Lighthouse Children
ICR,3-1,Little Chick's Friend Duckling
ICR,3-2,Joe and Betsy the Dinosaur
ICR,3-3,Ms. Turtle the Babysitter
ICR,3-4,Silly Tilly's Thanksgiving Dinner
ICR,3-5,Morris and Boris at the Circus
ICR,3-6,Johnny Lion's Book
