Code,Step,Name
LTR,1,Learn to Read
HR2,2,Hello Reader Level 2
ICR,2,I Can Read Book
LC,2,Little Critter
HR3,3,Hello Reader Level 3
SSC,3,Seriously Silly Story Colour
AD,4,Arthur Adventure
WW,4,Winnie the Witch
BB,5,The Berenstain Bears 
HR4,5,Hello Reader Level 4 
DRA,6,Disney Read Along
SBR,7,SpongeBob Readers
RK,8,Rockets 
SSS,9,Seriously Silly Stories
EC,9,Early Chapter Book
CH,10,Chameleons
NG,10,Nate the Great
MSB,11,Magic School Bus
SBC,12,SpongeBob Chapter
ZF,13,The Zack Files
JB,14,Junie B. Jones
MTH,15,The Magic Tree House
GS,16,Geronimo Stilton
GF,17,Garfield
FKS,18,Franny K. Stein
